Data;Valor
2007-09-01;204026
2007-10-01;244451
2007-11-01;237015
2007-12-01;242240
2008-01-01;214959
2008-02-01;200844
2008-03-01;232147
2008-04-01;261246
2008-05-01;242010
2008-06-01;256005
2008-07-01;288141
2008-08-01;244771
2008-09-01;268686
2008-10-01;239236
2008-11-01;177823
2008-12-01;194486
2009-01-01;197454
2009-02-01;199366
2009-03-01;271442
2009-04-01;234390
2009-05-01;246978
2009-06-01;300157
2009-07-01;285416
2009-08-01;258129
2009-09-01;308718
2009-10-01;294466
2009-11-01;251697
2009-12-01;293027
2010-01-01;213312
2010-02-01;220957
2010-03-01;353738
2010-04-01;277843
2010-05-01;251087
2010-06-01;262758
2010-07-01;302332
2010-08-01;312783
2010-09-01;307057
2010-10-01;303172
2010-11-01;328473
2010-12-01;381552
2011-01-01;244873
2011-02-01;274153
2011-03-01;306135
2011-04-01;289189
2011-05-01;318534
2011-06-01;304333
2011-07-01;306231
2011-08-01;327610
2011-09-01;311648
2011-10-01;280567
2011-11-01;321560
2011-12-01;348415
2012-01-01;268273
2012-02-01;249517
2012-03-01;300574
2012-04-01;257887
2012-05-01;287465
2012-06-01;353200
2012-07-01;364196
2012-08-01;420080
2012-09-01;288108
2012-10-01;341644
2012-11-01;311772
2012-12-01;359355
2013-01-01;311453
2013-02-01;235109
2013-03-01;283912
2013-04-01;333738
2013-05-01;316233
2013-06-01;318619
2013-07-01;342306
2013-08-01;329143
2013-09-01;309872
2013-10-01;330203
2013-11-01;302939
2013-12-01;353843
2014-01-01;312618
2014-02-01;259328
2014-03-01;240808
2014-04-01;293240
2014-05-01;293362
2014-06-01;263564
2014-07-01;294768
2014-08-01;272492
2014-09-01;296294
2014-10-01;306859
2014-11-01;294651
2014-12-01;370028
2015-01-01;253803
2015-02-01;185944
2015-03-01;234631
2015-04-01;219351
2015-05-01;212696
2015-06-01;212524
2015-07-01;227617
2015-08-01;207250
2015-09-01;200077
2015-10-01;192147
2015-11-01;195176
2015-12-01;227760
2016-01-01;155283
2016-02-01;146809
2016-03-01;179219
2016-04-01;162939
2016-05-01;167489
2016-06-01;171797
2016-07-01;181408
2016-08-01;183890
2016-09-01;159961
2016-10-01;159037
2016-11-01;178156
2016-12-01;204329
2017-01-01;147219
2017-02-01;135667
2017-03-01;189149
2017-04-01;156894
2017-05-01;195562
2017-06-01;194954
2017-07-01;184815
2017-08-01;216534
2017-09-01;199211
2017-10-01;202857
2017-11-01;204205
2017-12-01;212615
2018-01-01;181266
2018-02-01;156905
2018-03-01;207365
2018-04-01;217330
2018-05-01;201897
2018-06-01;201982
2018-07-01;217509
2018-08-01;248623
2018-09-01;213339
2018-10-01;254732
2018-11-01;230945
2018-12-01;234531
2019-01-01;199794
2019-02-01;198641
2019-03-01;209165
2019-04-01;231936
2019-05-01;245440
2019-06-01;223198
2019-07-01;243614
2019-08-01;242985
2019-09-01;234848
2019-10-01;253361
2019-11-01;242310
2019-12-01;262558
2020-01-01;193459
2020-02-01;200997
2020-03-01;163625
2020-04-01;55735
2020-05-01;62190
2020-06-01;132818
2020-07-01;174487
2020-08-01;183395
2020-09-01;207710
2020-10-01;215044
2020-11-01;225010
2020-12-01;243967
2021-01-01;171146
2021-02-01;167391
2021-03-01;189389
2021-04-01;175116
2021-05-01;188678
2021-06-01;182453
2021-07-01;175453
2021-08-01;172784
2021-09-01;155075
2021-10-01;162349
2021-11-01;172964
2021-12-01;207053
2022-01-01;126518
2022-02-01;132331
2022-03-01;146819
2022-04-01;147242
2022-05-01;187064
2022-06-01;178067
2022-07-01;181994
2022-08-01;208607
2022-09-01;193978
2022-10-01;180907
2022-11-01;204011
2022-12-01;216923
2023-01-01;142852
2023-02-01;129949
2023-03-01;198974
2023-04-01;160730
2023-05-01;176524
2023-06-01;189528
2023-07-01;225594
2023-08-01;207743
2023-09-01;197739
2023-10-01;217848
2023-11-01;212649
2023-12-01;248559
2024-01-01;161615
2024-02-01;165225
2024-03-01;187731
2024-04-01;220842
2024-05-01;194256
2024-06-01;214304
2024-07-01;241336
2024-08-01;237382
2024-09-01;236334
2024-10-01;264949
2024-11-01;253499
2024-12-01;257431
